列1,列2,列3,列4,列5,列6,列7,列8,列9
Where to next with first-order optimization?【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Chris Maddison the Insitute for Advanced Study in Princeton,2019-12-26 15:30-2019-12-26 16:30,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8318-1.html,2019-12-26 15:30-2019-12-26 16:30,"First-order methods for numerical optimization are central to modern machine learning, due to their scalability and simplicity. In this talk we explore their theory and practice by re-considering traditional assumptions and common wisdom. First, we introduce a descent method that converges under a novel generalization of Lipschitz smoothness, which is a ubiquitous assumption in the analysis of first-order methods. Our method is a non-linear preconditioning of gradient descent, and we show how this method can be applied to p-norm regression and exponential penalty function minimization. Second, we demonstrate the sensitivity of optimizer comparisons to the metaparameter tuning protocol. As tuning effort grows without bound, more general update rules should never underperform the ones they can approximate (i.e., Adam should never perform worse than momentum), but the recent attempts to compare optimizers for deep learning either assume these inclusion relationships are not relevant in practice or restrict the metaparameters they tune to break the inclusions. In our experiments, we find that the inclusion relationships between optimizers matter in practice and always predict optimizer comparisons. In particular, we find that the popular adative gradient methods never underperform momentum or gradient descent, a challenge to commonly held wisdom.","Chris Maddison is member at the Insitute for Advanced Study in Princeton in the Special Year on Theoretical Machine Learning, and he will be joining the Departments of Computer Science and Statistical Sciences at the University of Toronto and the Vector Institute as an assistant professor in July 2020. His work is on the methodology of machine learning, with an emphasis on methods that work at scale in deep learning applications. He is an Open Philanthropy AI Fellow, received a NIPS Best Paper Award in 2014, and was one of the founding members of the AlphaGo project."
Resource theory of quantum channels and applications in benchmarking quantum memory,Yunchao Liu UC Berkeley,2019-12-23 14:00-2019-12-23 15:00,MMW327,清华大学,https://iiis.tsinghua.edu.cn/show-8309-1.html,2019-12-23 14:00-2019-12-23 15:00,"Quantum resource theories have been widely studied to systematically characterize the non-classicality of quantum systems. In this talk, we propose a general resource framework for quantum channels and introducing resource monotones based on general distance quantifiers of channels. We study the interplay between channel and state resource theories by relating resource monotones of a quantum channel to its manipulation power of the state resource. Regarding channels as operational resources, we introduce asymptotic channel distillation and dilution, the most important tasks in an operational resource theory, and show how to bound the conversion rates with channel resource monotones. Furthermore, we extend our framework to the characterization and benchmark of quantum memories. We introduce the robustness of quantum memory, and demonstrate its operational meaning as a resource in three different settings: (1) the resource cost of synthesising the memory with idealised qubit memories, (2) the resource cost of simulating the memory's observational statistics with classical resources, and (3) the performance of the memory in discriminating different input states. 
References: arXiv 1904.02680, 1907.02521 (joint work with Xiao Yuan et al.)","Yunchao Liu is a Ph.D. candidate at the division of computer science/EECS, UC Berkeley. He received B.E. from Institute for Interdisciplinary Information Sciences, Tsinghua University in 2019. His research focuses on quantum information and computation."
Quantum algorithms for optimization and machine learning,Tongyang Li University of Maryland,2019-12-23 13:00-2019-12-23 14:00,MMW S327,清华大学,https://iiis.tsinghua.edu.cn/show-8274-1.html,2019-12-23 13:00-2019-12-23 14:00,"The theories of optimization and machine learning answer foundational questions in computer science and lead to new algorithms for practical applications. While these topics have been extensively studied in the context of classical computing, their quantum counterparts are far from well-understood. In this talk, I will introduce my research that bridges the gap between the fields of quantum computing and machine learning.
To be more specific, I will briefly introduce some of my recent developments on quantum advantages for optimization and machine learning, including semidefinite programming (QIP 2019), convex optimization (QIP 2019), classification (ICML 2019), generative adversarial networks (NeurIPS 2019), volume estimation (QIP 2020), etc. I will also introduce limitations of quantum machine learning (QIP 2020).","Tongyang Li is a Ph.D. candidate at the Department of Computer Science, University of Maryland. He received B.E. from Institute for Interdisciplinary Information Sciences, Tsinghua University and B.S. from Department of Mathematical Sciences, Tsinghua University, both in 2015; he also received a Master degree from Department of Computer Science, University of Maryland in 2018. He is currently a recipient of the IBM Ph.D. Fellowship and the NSF QISE-NET Triplet Award. His research focuses on designing quantum algorithms for optimization and machine learning."
Designing Explicit Regularizers for Deep Models【IIIS-Haihua Frontier Seminar Series】,Tengyu Ma Stanford University,2019-12-20 14:00-2019-12-20 15:00,FIT 1-315,清华大学,https://iiis.tsinghua.edu.cn/show-8307-1.html,2019-12-20 14:00-2019-12-20 15:00,"I will discuss some recent results on designing explicit regularizers to improve the generalization performances of deep neural networks. We derive data-dependent generalization bounds for deep neural networks. We empirically regularize the bounds and obtain improved generalization performance (in terms of the standard accuracy or the robust accuracy), especially when we lack other sources of regularization, such as implicit/algorithmic regularization, data augmentation, etc. I will also touch on recent results on applying these techniques to imbalanced datasets. Based on joint work with Colin Wei, Kaidi Cao, Adrien Gaidon, and Nikos Arechiga.","Tengyu Ma is an assistant professor of Computer Science and Statistics at Stanford University. He received his Ph.D. from Princeton University and B.E. from Tsinghua University. His research interests include topics in machine learning and algorithms, such as non-convex optimization, deep learning, representation learning, deep reinforcement learning, and high-dimensional statistics. He is a recipient of NIPS'16 best student paper award, COLT'18 best paper award, and ACM Doctoral Dissertation Award Honorable Mention."
Towards the Machine Comprehension of Text【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Danqi Chen Princeton University,2019-12-19 14:00-2019-12-19 15:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8308-1.html,2019-12-19 14:00-2019-12-19 15:00,"Building computer systems to read and comprehend natural language documents remains a long-standing challenge in Artificial Intelligence. In the past few years, thanks to the rapid development of deep neural networks and the emergence of new paradigms for langauge representations (e.g. pre-training and fine-tuning), we have seen unprecedented success in many natural language understanding benchmarks. How far have we gone so far? How far are we still away from that grand goal of achieving human-level understanding? In this talk, I will share many exciting results in NLP and introduce some of my recent work on machine reading and question answering. I also would like to discuss some biggest lessons we learned and promising future directions.","Danqi Chen is an Assistant Professor of Computer Science at Princeton University and co-leads the Princeton NLP Group. Danqi’s research interests lie in natural language processing and machine learning (deep learning in particular) and her research centers on how computers can achieve a deep understanding of human language and the information it contains. Before joining Princeton in Fall 2019, Danqi worked as a visiting scientist at Facebook AI Research (FAIR). She received her PhD from the Department of Computer Science at Stanford University in 2018 and B.E. from Yao Class at Tsinghua University in 2012. In the past, she was a recipient of Outstanding Paper Awards at ACL’16 and EMNLP’17, a Facebook Fellowship, and a Microsoft Research Women’s Fellowship."
The Golden Age of Computer Architecture: From Simulation to Security and Acceleration【IIIS-Haihua Frontier Seminar Series】,Trevor E. Carlson National University of Singapore,2019-12-18 15:00-2019-12-18 16:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-8304-1.html,2019-12-18 15:00-2019-12-18 16:00,"Driven by the demand for higher overall performance in general-purpose processing, fast simulation of next-generation designs is critical. Architects need to understand the potential performance benefits of new techniques as well as the energy- and power-trade-offs that need to be made to accelerate general-purpose workloads. This becomes increasingly important as datacenters continue to grow size, IoT devices proliferate, and as designers consider open-source solutions as an alternative to commercial ones. The number of potential architects is increasing overall, but their tools have-not been keeping pace.Building enhanced processors takes a significant amount of time and effort and the cycle-level, detailed simulation needed to predict simulator performance can be 1000x to 10,000x slower than real-time execution. We cannot wait for others to build this promising future of high-performance, energy-efficient designs. What is needed are techniques to significantly speed up the design of these new, promising designs, while maintaining accuracy and generality. Many solutions have been proposed to help solve this bottleneck, such as analytical modeling, and even FPGA-based acceleration. But, many of these techniques are unable to keep up with the complexity, the number of processors in the system, or the features that those methodologies can simulate. Other techniques restrict the type of changes that can be investigated or complexity of the workload. In the end, we need flexible solutions that allow for scalability and flexibility, while maintaining simulation performance.In this talk, we detail our latest work on hardware virtualization-accelerated simulation that attempts to address many of these issues. In addition, we will discuss the needs for future simulation systems, as well as discuss a number of future projects that we have just begun to work on, from efficient and secure processors, to AI accelerators.","Trevor E. Carlson is an assistant professor at the National University of Singapore (NUS). He received his B.S. and M.S. degrees from Carnegie Mellon University in 2002 and 2003, his Ph.D. from Ghent University in 2014, and has worked for 3 years as a postdoctoral researcher at Uppsala University in Sweden until 2017. He has also spent a number of years working in or with industry, at IBM from 2003 to 2007, at the imec research lab from 2007 to 2009, and with the Intel ExaScience Lab from 2009 to 2014. Overall, he has over 16 years of computer systems and architecture experience in both industry and academia. Trevor Carlson’s research interests include a number of areas of computer architecture including highly-efficient microarchitectures, performance modeling and fast and scalable simulation methodologies, secure processor designs and efficient accelerator design. His goal is to improve the performance, efficiency and security of next-generation processors, covering applications that target edge (IoT) and cloud-scale applications. While a staff engineer at IBM, he helped to author 4 issued patents. During his PhD, in collaboration with the Intel ExaScience Lab, he co-developed the Sniper Multi-core Simulator which is being used by hundreds of researchers to evaluate the performance and power-efficiency of next generation systems, and continues to be used to explore next-generation processor design at Intel today. He recently worked to develop processor architectures to more efficiently handle long-latency memory accesses (Memory Level Parallelism, or MLP). Dr. Carlson’s research has been published at leading journals and conferences in computer architecture and simulation such as the International Symposium on Computer Architecture (ISCA), the International Symposium on Microarchitecture (MICRO), the International Symposium on High Performance Computer Architecture (HPCA) and the IEEE Transactions on Computers (TC). He is a recipient of the Best Paper Award at the International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation (SAMOS) in 2016, and the Best Paper Award at the International Symposium on Performance Analysis of Systems and Software (ISPASS) in 2013. In addition, his work has received four Best Paper Award nominations, one at MICRO 2019, and three at ISPASS in 2018, 2015 and 2014."
An Exponential Learning Rate Schedule for Deep Learning【IIIS-Haihua Frontier Seminar Series】,Zhiyuan Li Princeton University,2019-12-18 14:00-2019-12-18 15:00,"Block D 15th floor, Science & Technology Mansion, Tsinghua Science Park",清华大学,https://iiis.tsinghua.edu.cn/show-8306-1.html,2019-12-18 14:00-2019-12-18 15:00,"Intriguing empirical evidence exists that deep learning can work well with exotic schedules for varying the learning rate. This paper suggests that the phenomenon may be due to Batch Normalization or BN, which is ubiquitous and provides benefits in optimization and generalization across all standard architectures. The following new results are shown about BN with weight decay and momentum (in other words, the typical use case which was not considered in earlier theoretical analyses of stand-alone BN. Training can be done using SGD with momentum and an exponentially increasing learning rate schedule, i.e., learning rate increases by some (1 + α) factor in every epoch for some α > 0.  To the best of our knowledge this is the first time such a rate schedule has been successfully used, let alone for highly successful architectures. As expected, such training rapidly blows up network weights, but the net stays well-behaved due to normalization. Mathematical explanation of the success of the above rate schedule: a rigorous proof that it is equivalent to the standard setting of BN + SGD + Standard Rate Tuning + Weight Decay + Momentum. This equivalence holds for other normalization layers as well, Group Normalization, Layer Normalization, Instance Norm, etc.  A worked-out toy example illustrating the above linkage of hyperparameters. Using either weight decay or BN alone reaches global minimum, but convergence fails when both are used.","Zhiyuan Li is a third year PhD candidate at Princeton University in Computer Science Department. He previously got his bachelor's degree at IIIS, Tsinghua University in 2017. His research interests includes theoretical machine learning, deep learning theory and non-convex optimization. He’s currently working on optimization and generalization of ultra wide neural networks and theoretical analysis for the complicated interplay between bunch of tricks in deep learning."
Understanding Deep Learning via Analyzing Trajectories of Gradient Descent【IIIS-Haihua Frontier Seminar Series】,Wei Hu Princeton University,2019-12-17 14:00-2019-12-17 15:00,"Block D 15th floor, Science & Technology Mansion, Tsinghua Science Park",清华大学,https://iiis.tsinghua.edu.cn/show-8305-1.html,2019-12-17 14:00-2019-12-17 15:00,"Deep learning builds upon the mysterious abilities of gradient-based optimization algorithms. Not only can these algorithms often achieve low loss on complicated non-convex training objectives, but the solutions found can also generalize remarkably well on unseen test data. Towards explaining these mysteries, I will present recent results that take into account the trajectories taken by the gradient descent algorithm -- the trajectories turn out to exhibit special properties that enable the successes of optimization and generalization.","Wei Hu is a PhD student in the Department of Computer Science at Princeton University, advised by Sanjeev Arora. Previously, he obtained his B.E. in Computer Science from Tsinghua University, where he was a member of Yao Class. He has also spent time at research labs of Google and Microsoft. His current research interest is in the theoretical foundation of modern machine learning and optimization."
Recharging Bandits【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Bobby Kleinberg Cornell University,2019-12-12 14:00-2019-12-12 15:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8328-1.html,2019-12-12 14:00-2019-12-12 15:00,"Traditional multi-armed bandit models posit that the payoff distribution of each action (or ""arm"") is stationary over time, and hence that the goal of learning is to identify the arm with the highest expected payoff and choose that one forever after. However, in many applications the efficacy of an action depends on the amount of time that has elapsed since it was last performed. Examples arise in precision agriculture, online education, and music recommendations. In this talk we introduce a generalization of the multi-armed bandit problem that models such applications. In the course of analyzing algorithms for this problem, we will encounter some interesting combinatorial questions about coloring the integers subject to bounds on the sizes of subintervals that exclude a given color. This talk is based on joint work with Nicole Immorlica that appeared in FOCS 2018.","Bobby Kleinberg is a Professor of Computer Science at Cornell University. His research pertains to the design and analysis of algorithms and their applications to machine learning, economics, networking, and other areas. Prior to receiving his doctorate from MIT in 2005, Kleinberg spent three years at Akamai Technologies; he and his co-workers received the 2018 SIGCOMM Networking Systems Award for pioneering the world's first and largest Internet content distribution network. He is also the recipient of a Microsoft Research New Faculty Fellowship, an Alfred P. Sloan Foundation Fellowship, and an NSF CAREER Award."
Designing Fast and Robust Learning Algorithms【IIIS-Haihua Frontier Seminar Series】,Yu Cheng University of Illinois at Chicago,2019-12-11 14:00-2019-12-11 15:00,"Block D 15th floor, Science & Technology Mansion, Tsinghua Science Park",清华大学,https://iiis.tsinghua.edu.cn/show-8289-1.html,2019-12-11 14:00-2019-12-11 15:00,"Most people interact with machine learning systems on a daily basis. Such interactions often happen in strategic environments where people have incentives to manipulate the learning algorithms. As machine learning plays a more prominent role in our society, it is important to understand whether existing algorithms are vulnerable to adversarial attacks and, if so, design new algorithms that are robust in these strategic environments.  In this talk, I will focus on two lines of my recent work on designing fast and provably robust learning algorithms: making non-convex matrix completion approaches robust against semi-random adversaries, and designing robust high-dimensional statistical estimators that can be computed almost as efficiently as their non-robust counterparts. Most of the talk is based on joint work with Ilias Diakonikolas and Rong Ge.","Yu Cheng is an assistant professor in the Mathematics (MSCS) Department at the University of Illinois at Chicago.  He obtained his Ph.D. from the University of Southern California and he was a postdoc at Duke University.  His research interests include machine learning, game theory, and optimization."
Toward theoretical understanding of deep learning【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Sanjeev Arora  Princeton University and Institute for Advanced Study,2019-12-10 10:30-2019-12-10 11:30,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8285-1.html,2019-12-10 10:30-2019-12-10 11:30,"Deep learning has proved very successful at a host of AI/ML tasks recently, but theoretical understanding of this technique has lagged. The talk will survey ongoing efforts to understand the success of this method, including optimization aspects and a magical ability of vast nets to not overfit on tiny data sets. The talk will be self-contained.","Sanjeev Arora is Charles C. Fitzmorris Professor of Computer Science at Princeton University and Visiting Professor in Mathematics at the Institute for Advanced Study. He works on theoretical computer science and theoretical machine learning. He has received the Packard Fellowship (1997), Simons Investigator Award (2012), G?del Prize (2001 and 2010), ACM Prize in Computing (2012), and the Fulkerson Prize in Discrete Math (2012). He is a fellow of the American Academy of Arts and Sciences and member of the National Academy of Science and was a plenary speaker at the International Congress of Mathematicians in 2018."
Integrating Machine Learning with Game Theory for Societal Challenges【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Fei Fang Carnegie Mellon University,2019-12-06 14:00-2019-12-06 15:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8283-1.html,2019-12-06 14:00-2019-12-06 15:00,"Real-world problems such as protecting critical infrastructure and cyber networks and protecting wildlife, fishery, and forest often involve multiple decision-makers. While game theory is an established paradigm for such problems, its applicability in practice is often limited by computational intractability in large games, the unavailability of game parameters and the lack of rationality of human players. On the other hand, machine learning has led to huge successes in various domains and can be leveraged to overcome the limitations of the game-theoretic analysis. In this talk, I will introduce our work on integrating machine learning with computational game theory for addressing societal challenges, including data-based game-theoretic reasoning, learning-powered strategy computation in large scale games, and end-to-end learning of game parameters.","Fei Fang is an Assistant Professor at the Institute for Software Research in the School of Computer Science at Carnegie Mellon University. Before joining CMU, she was a Postdoctoral Fellow at the Center for Research on Computation and Society (CRCS) at Harvard University. She received her Ph.D. from the Department of Computer Science at the University of Southern California in June 2016. Her research lies in the field of artificial intelligence and multi-agent systems, focusing on integrating machine learning with game theory. Her work has been motivated by and applied to security, sustainability, and mobility domains, contributing to the theme of AI for Social Good. Her work has won the Distinguished Paper at IJCAI-ECAI’18, Innovative Application Award at IAAI’16, the Outstanding Paper Award in Computational Sustainability Track at IJCAI’15. She was invited to give an IJCAI-19 Early Career Spotlight talk. Her dissertation is selected as the runner-up for IFAAMAS-16 Victor Lesser Distinguished Dissertation Award, and is selected to be the winner of the William F. Ballhaus, Jr. Prize for Excellence in Graduate Engineering Research as well as the Best Dissertation Award in Computer Science at the University of Southern California. Her work has been deployed by the US Coast Guard for protecting the Staten Island Ferry in New York City since April 2013. Her work has led to the deployment of PAWS (Protection Assistant for Wildlife Security) in multiple conservation areas around the world, which provides predictive and prescriptive analysis for anti-poaching effort."
What 2-layer neural nets can we optimize?【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Rong Ge   the computer science department at Duke University,2019-11-28 14:00-2019-11-28 15:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8270-1.html,2019-11-28 14:00-2019-11-28 15:00,"Optimizing neural networks is a highly nonconvex problem, and even optimizing a 2-layer neural network can be challenging. In the recent years many different approaches were proposed to learn 2-layer neural networks under different assumptions. This talk will give a brief survey on these approaches, and discuss some new results using spectral methods and optimization landscape.","Rong Ge is an assistant professor in the computer science department at Duke University. He received his Ph.D. from Princeton University, and worked as a post-doctoral researcher at Microsoft Research New England. He is broadly interested in theoretical computer science and machine learning. His research focuses on designing algorithms with provable guarantees for machine learning problems, using techniques including tensor decompositions and non-convex optimization. The research has received NSF CAREER Award and Sloan Fellowship."
Provably Beneficial Artificial Intelligence,Stuart Russell UC Berkeley,2019-11-27 11:00-2019-11-27 12:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8273-1.html,2019-11-27 11:00-2019-11-27 12:00,"It is reasonable to expect that AI capabilities will eventually exceed those of humans across a range of real-world-decision making scenarios. Should this be a cause for concern, as Elon Musk, Stephen Hawking, and others have suggested? While some in the mainstream AI community dismiss the issue. I will argue instead that a fundamental reorientation of the field is required. Instead of building systems that optimize arbitrary objectives, we need to learn how to build systems that will, in fact, be beneficial for us. I will show that it is useful to imbue systems with explicit uncertainty concerning the true objectives of the humans they are designed to help. This uncertainty causes machine and human behavior to be inextricably (and game-theoretically) linked, while opening up many new avenues for research. The ideas in this talk are described in more detail in a new book, ""Human Compatible: AI and the Problem of Control"" (Viking/Penguin, October 2019; to be published by CITIC in Chinese).","Stuart Russell received his B.A. with first-class honours in physics from Oxford University in 1982 and his Ph.D. in computer science from Stanford in 1986. He then joined the faculty of the University of California at Berkeley, where he is Professor (and formerly Chair) of Electrical Engineering and Computer Sciences, holder of the Smith-Zadeh Chair in Engineering, and Director of the Center for Human-Compatible AI. He has served as an Adjunct Professor of Neurological Surgery at UC San Francisco and as Vice-Chair of the World Economic Forum's Council on AI and Robotics. He is a recipient of the Presidential Young Investigator Award of the National Science Foundation, the IJCAI Computers and Thought Award, the World Technology Award (Policy category), the Mitchell Prize of the American Statistical Association, the Feigenbaum Prize of the Association for the Advancement of Artificial Intelligence, and Outstanding Educator Awards from both ACM and AAAI. From 2012 to 2014 he held the Chaire Blaise Pascal in Paris, and he has been awarded the Andrew Carnegie Fellowship for 2019 to 2021. He is an Honorary Fellow of Wadham College, Oxford; Distinguished Fellow of the Stanford Institute for Human-Centered AI; Associate Fellow of the Royal Institute for International Affairs (Chatham House); and Fellow of the Association for the Advancement of Artificial Intelligence, the Association for Computing Machinery, and the American Association for the Advancement of Science. His book ""Artificial Intelligence: A Modern Approach"" (with Peter Norvig) is the standard text in AI; it has been translated into 14 languages and is used in over 1400 universities in 128 countries. His research covers a wide range of topics in artificial intelligence including machine learning, probabilistic reasoning, knowledge representation, planning, real-time decision making, multitarget tracking, computer vision, computational physiology, and philosophical foundations. He also works for the United Nations, developing a new global seismic monitoring system for the nuclear-test-ban treaty. His current concerns include the threat of autonomous weapons and the long-term future of artificial intelligence and its relation to humanity. The latter topic is the subject of his new book, ""Human Compatible: AI and the Problem of Control"" (Viking/Pengun, 2019)."
The Complexity of Consensus and Set Agreement,Faith Ellen University of Toronto,2019-11-20 15:00-2019-11-20 16:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-8271-1.html,2019-11-20 15:00-2019-11-20 16:00,"Consensus is a fundamental problem in the theory of distributed computing. Research about consensus and its generalization, set agreement, has helped the theory of distributed computing community understand issues of computability and complexity, the power of randomness, and the importance of different termination conditions. This talk will survey a collection of classical and recent results about consensus and set agreement in shared-memory systems.","Faith Ellen is a Professor of Computer Science at the University of Toronto. Her research interest include the theory of distributed computing, data structures and complexity. She received her Ph.D. from the University of California, Berkeley, in 1982 under the supervision of Richard Karp. She joined the faculty of the University of Washington in 1983, and moved to Toronto in 1986. She became a Fellow of the Association for Computing Machinery in 2014. Faith  co-authored the book, “Impossibility Results for Distributed Computing”, which was published in 2014."
Quantum Simulation with Atoms and Ions,Peter Zoller University of Innsbruck,2019-11-19 11:00-2019-11-19 12:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-8272-1.html,2019-11-19 11:00-2019-11-19 12:00,"The talk focuses on recent developments in quantum simulation in theory-experiment collaborations at IQOQI Innsbruck. We will discuss two topics: self-verifying variational quantum simulation of lattice models on a trapped ion platform; and measurement protocols employing statistical correlations between randomized measurements to measure Renyi entropies, and cross-platform verification of quantum computers and quantum simulators.","Professor Peter Zoller is a world-renowned theoretical physicist in the fields of quantum computation, quantum information, and quantum simulation, best known for proposing the trapped ion quantum computer and quantum simulation with cold atoms. He is currently a Professor of Physics in University of Innsbruck and Research Director of Institute for Quantum Optics and Quantum Information (IQOQI) of the Austria Academy of Sciences, Austria. He has received numerous prestigious awards for his achievements, such as The Willis-E.-Lamb Award (2018), Micius Quantum Prize (2018), Wolf Prize in Physics (2013), Benjamin Franklin Medal (2010), Dirac Medal (2006), Niels Bohr Gold Medal (2005), Max Planck Medal (2005), etc. Prof. Peter Zoller is a member of the European Academy of Sciences, German National Academy of Sciences (Leopoldina), National Academy of Sciences of United States, Royal Spanish Academy of Sciences, Royal Netherlands Academy of Arts and Sciences, and Austrian Academy of Sciences."
Model Compression and Neural Architecture Search for Efficient Deep Learning【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Song Han   MIT EECS,2019-11-14 14:00-2019-11-14 15:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8266-1.html,2019-11-14 14:00-2019-11-14 15:00,"Efficient deep learning computing requires algorithm and hardware co-design to enable specialization. However, the extra degree of freedom creates a much larger design space. Human engineers can hardly exhaust the design space by heuristics, and there’s a shortage of machine learning engineers. We propose techniques to architect efficient neural networks efficiently and automatically. We first introduce Deep Compression (ICLR’16) techniques to reduce the size of neural networks, followed by EIE accelerator (ISCA’16) that directly accelerate a sparse and compressed model. Then investigate automatically designing small and fast models (ProxylessNAS, ICLR’19), auto channel pruning (AMC, ECCV’18), and auto mixed-precision quantization (HAQ, CVPR’19). We demonstrate such learning-based, automated design achieves superior performance and efficiency than rule-based human design. Finally, we accelerate computation-intensive AI applications including TSM (ICCV’19) for efficient video recognition and PVCNN (NeurIPS’19) for efficient 3D point cloud recognition.","Song Han is an assistant professor at MIT EECS. Dr. Han received the Ph.D. degree in Electrical Engineering from Stanford University and B.S. degree in Electrical Engineering from Tsinghua University. Dr. Han's research focuses on efficient deep learning computing. He proposed ""Deep Compression"" and ""EIE Accelerator"" that impacted the industry. His work received the best paper award in ICLR'16 and FPGA’17. He was the co-founder and chief scientist of DeePhi Tech acquired by Xilinx. Dr. Han is listed by MIT Technology Review's 35 Innovators Under 35."
Ultra-wide Neural Nets and Neural Tangent Kernel【IIIS-Haihua Distinguished Seminar Series in Artificial Intelligence】,Simon Shaolei Du  Institute for Advanced Study of Princeton,2019-10-31 14:00-2019-10-31 15:00,FIT Lecture Hall,清华大学,https://iiis.tsinghua.edu.cn/show-8256-1.html,2019-10-31 14:00-2019-10-31 15:00,"The optimization and generalization of neural networks are still like mysteries. Simple gradient methods can find global minima of a highly non-convex loss function, and neural networks can generalize well despite being highly over-parameterized. In the first part of the talk, I will show the connection between ultra-wide neural networks and kernel methods with a particular kernel function: neural tangent kernel (NTK) and use this connection to explain the optimization and generalization behavior of neural networks. Furthermore, I will show how NTK can help us understand the benefit of certain layers in neural network architecture. In the second part of the talk, I will show NTK itself can be useful in practice. In several settings, including categorical data classification, graph classification, and few-shot learning, NTK enjoys the superior empirical performance.","Simon Shaolei Du is a postdoc at Institute for Advanced Study of Princeton, hosted by Sanjeev Arora. He completed his Ph.D. in Machine Learning at Carnegie Mellon University, where he was co-advised by Aarti Singh and Barnabás Póczos. Previously, He studied EECS and EMS at UC Berkeley. He have also spent time at Simons Institute and research labs of Facebook, Google and Microsoft. His research interests are broadly in machine learning such as deep learning, reinforcement learning, transfer learning, (non-)convex optimization, non-parametric estimation, robust statistics and matrix analysis. His research goal is to develop theoretically principled methods that improve practical performance."
Memory-Efficient Search Trees for Database Management Systems,Huanchen Zhang  Carnegie Mellon University,2019-10-25 14:00-2019-10-25 15:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-8237-1.html,2019-10-25 14:00-2019-10-25 15:00,"The growing cost gap between DRAM and storage together with increasing database sizes means that database management systems (DBMSs) now operate with a lower memory to storage size ratio than before. On the other hand, modern DBMSs rely on in-memory search trees (e.g., indexes and filters) to achieve high throughput and low latency. These search trees, however, consume a large portion of the total memory available to the DBMS. In this talk, we address the challenge of building compact yet fast in-memory search trees to allow more efficient use of memory in data processing systems. We first present techniques to reduce the memory of a read-optimized search tree to the theoretical limit without compromising its query performance. We then introduce ways to amortize the cost of modifying static data structures with bounded and modest cost in performance and space. Finally, we approach the search tree compression problem from an orthogonal direction by building a fast order-preserving key compressor. Together, these three pieces form a practical recipe for achieving memory-efficiency in search trees and in DBMSs.","Huanchen Zhang is a final-year Ph.D. student advised by David G. Andersen in the Computer Science Department at Carnegie Mellon University. He also works closely with Andy Pavlo (CMU), Michael Kaminsky (Intel Labs), and Kimberly Keeton (HP Labs). He received his B.S. degrees in Computer Engineering, Computer Sciences, and Mathematics from University of Wisconsin-Madison advised by Remzi Arpaci-Dusseau. His research interests center on computer systems and databases. He has a particular interest in designing memory-efficient and high-performance search structures for data processing systems.
 
Personal Website: http://www.cs.cmu.edu/~huanche1/"
